时间,报警阈值(米),报警点名称,报警点X(米),报警点Y(米),报警点Z(米),标签X(米),标签Y(米),标签Z(米),标签号,,灭火器→油箱→接地夹、焊把钳→墙壁电源→焊机电源→电压电流旋钮→待焊钢板、钢刷→焊接时手腕位置→焊机电源→墙壁电源→接地夹、焊把钳→锤子,,,,,,,
45:25.0,0.5,灭火器把手,2.84,0.69,0.5,3.089,0.671,0.292,T1,,,,,,,,,
45:25.1,0.5,油箱顶部,2.86,0.42,0.25,2.933,0.52,0.562,T0,,,,,,,,,
45:25.1,0.5,灭火器把手,2.84,0.69,0.5,2.933,0.52,0.562,T0,,,,,,,,,
45:25.1,0.5,油箱顶部,2.86,0.42,0.25,3.068,0.655,0.324,T1,,,,,,,,,
45:25.1,0.5,灭火器把手,2.84,0.69,0.5,3.068,0.655,0.324,T1,,,,,,,,,
45:25.2,0.5,油箱顶部,2.86,0.42,0.25,2.876,0.517,0.595,T0,,,,,,,,,
45:25.2,0.5,灭火器把手,2.84,0.69,0.5,2.876,0.517,0.595,T0,,,,,,,,,
45:25.2,0.5,油箱顶部,2.86,0.42,0.25,3.064,0.633,0.377,T1,,,,,,,,,
45:25.2,0.5,灭火器把手,2.84,0.69,0.5,3.064,0.633,0.377,T1,,,,,,,,,
45:25.3,0.5,油箱顶部,2.86,0.42,0.25,2.81,0.51,0.633,T0,,,,,,,,,
45:25.3,0.5,灭火器把手,2.84,0.69,0.5,2.81,0.51,0.633,T0,,,,,,,,,
45:25.3,0.5,油箱顶部,2.86,0.42,0.25,3.08,0.602,0.442,T1,,,,,,,,,
45:25.3,0.5,灭火器把手,2.84,0.69,0.5,3.08,0.602,0.442,T1,,,,,,,,,
45:25.4,0.5,油箱顶部,2.86,0.42,0.25,2.739,0.497,0.675,T0,,,,,,,,,
45:25.4,0.5,灭火器把手,2.84,0.69,0.5,2.739,0.497,0.675,T0,,,,,,,,,
45:25.4,0.5,油箱顶部,2.86,0.42,0.25,3.102,0.563,0.519,T1,,,,,,,,,
45:25.4,0.5,灭火器把手,2.84,0.69,0.5,3.102,0.563,0.519,T1,,,,,,,,,
45:25.5,0.5,灭火器把手,2.84,0.69,0.5,2.667,0.477,0.722,T0,,,,,,,,,
45:25.5,0.5,油箱顶部,2.86,0.42,0.25,3.139,0.517,0.593,T1,,,,,,,,,
45:25.5,0.5,灭火器把手,2.84,0.69,0.5,3.139,0.517,0.593,T1,灭火器和油箱,,,,,,,,
45:25.6,0.5,灭火器把手,2.84,0.69,0.5,2.593,0.445,0.769,T0,,,,,,,,,
45:25.6,0.5,灭火器把手,2.84,0.69,0.5,3.182,0.471,0.671,T1,,,,,,,,,
45:27.5,0.5,油箱顶部,2.86,0.42,0.25,3.209,0.166,0.46,T1,,,,,,,,,
45:27.6,0.5,油箱顶部,2.86,0.42,0.25,2.553,0.081,0.421,T0,,,,,,,,,
45:27.6,0.5,油箱顶部,2.86,0.42,0.25,3.204,0.17,0.422,T1,,,,,,,,,
45:27.7,0.5,油箱顶部,2.86,0.42,0.25,2.582,0.088,0.367,T0,,,,,,,,,
45:27.7,0.5,油箱顶部,2.86,0.42,0.25,3.197,0.173,0.392,T1,,,,,,,,,
45:27.8,0.5,油箱顶部,2.86,0.42,0.25,2.607,0.094,0.319,T0,,,,,,,,,
45:27.8,0.5,油箱顶部,2.86,0.42,0.25,3.192,0.184,0.366,T1,,,,,,,,,
45:27.9,0.5,油箱顶部,2.86,0.42,0.25,2.624,0.1,0.292,T0,,,,,,,,,
45:27.9,0.5,油箱顶部,2.86,0.42,0.25,3.184,0.202,0.355,T1,,,,,,,,,
45:28.0,0.5,油箱顶部,2.86,0.42,0.25,2.636,0.104,0.279,T0,,,,,,,,,
45:28.0,0.5,油箱顶部,2.86,0.42,0.25,3.189,0.213,0.344,T1,,,,,,,,,
45:28.1,0.5,油箱顶部,2.86,0.42,0.25,2.638,0.112,0.346,T0,,,,,,,,,
45:28.1,0.5,油箱顶部,2.86,0.42,0.25,3.182,0.238,0.429,T1,,,,,,,,,
45:28.2,0.5,油箱顶部,2.86,0.42,0.25,2.638,0.111,0.359,T0,,,,,,,,,
45:28.2,0.5,油箱顶部,2.86,0.42,0.25,3.203,0.242,0.42,T1,,,,,,,,,
45:28.3,0.5,油箱顶部,2.86,0.42,0.25,2.628,0.099,0.389,T0,,,,,,,,,
45:28.3,0.5,油箱顶部,2.86,0.42,0.25,3.231,0.242,0.421,T1,,,,,,,,,
45:28.4,0.5,油箱顶部,2.86,0.42,0.25,2.613,0.08,0.442,T0,,,,,,,,,
45:28.4,0.5,油箱顶部,2.86,0.42,0.25,3.271,0.231,0.432,T1,,,,,,,,,
45:37.1,0.5,灭火器把手,2.84,0.69,0.5,3.183,0.729,0.862,T1,待机,,,,,,,,
45:38.5,0.5,墙壁电源,2.44,2.57,0.97,2.516,2.199,0.967,T1,,,,,,,,,
45:38.6,0.5,墙壁电源,2.44,2.57,0.97,2.298,2.346,0.895,T1,,,,,,,,,
45:38.7,0.5,墙壁电源,2.44,2.57,0.97,2.096,2.475,0.714,T1,,,,,,,,,
45:47.5,0.5,灭火器把手,2.84,0.69,0.5,2.803,0.519,0.966,T1,,,,,,,,,
45:47.6,0.5,灭火器把手,2.84,0.69,0.5,2.805,0.532,0.967,T1,,,,,,,,,
45:47.7,0.5,灭火器把手,2.84,0.69,0.5,2.811,0.544,0.966,T1,,,,,,,,,
45:47.8,0.5,灭火器把手,2.84,0.69,0.5,2.818,0.553,0.962,T1,,,,,,,,,
45:47.9,0.5,灭火器把手,2.84,0.69,0.5,2.829,0.553,0.961,T1,,,,,,,,,
45:48.0,0.5,灭火器把手,2.84,0.69,0.5,2.853,0.552,0.959,T1,,,,,,,,,
45:48.1,0.5,灭火器把手,2.84,0.69,0.5,2.89,0.549,0.956,T1,,,,,,,,,
45:48.2,0.5,灭火器把手,2.84,0.69,0.5,2.942,0.543,0.953,T1,,,,,,,,,
45:48.3,0.5,灭火器把手,2.84,0.69,0.5,3.001,0.535,0.944,T1,,,,,,,,,
45:49.0,0.5,灭火器把手,2.84,0.69,0.5,3.185,0.677,0.852,T1,,,,,,,,,
45:49.1,0.5,灭火器把手,2.84,0.69,0.5,3.15,0.725,0.85,T1,,,,,,,,,
45:49.2,0.5,灭火器把手,2.84,0.69,0.5,3.125,0.776,0.844,T1,,,,,,,,,
45:49.3,0.5,灭火器把手,2.84,0.69,0.5,3.098,0.832,0.85,T1,,,,,,,,,
45:49.4,0.5,灭火器把手,2.84,0.69,0.5,3.083,0.894,0.858,T1,,,,,,,,,
45:50.5,0.5,墙壁电源,2.44,2.57,0.97,2.435,2.267,1.023,T1,巡视和焊机检查,,,,,,,,
45:50.6,0.5,墙壁电源,2.44,2.57,0.97,2.27,2.404,0.932,T1,,,,,,,,,
45:50.7,0.5,墙壁电源,2.44,2.57,0.97,2.098,2.508,0.81,T1,,,,,,,,,
45:51.0,0.5,焊机电源,1.45,2.1,0.39,1.644,2.531,0.53,T1,,,,,,,,,
45:51.1,0.5,焊机电源,1.45,2.1,0.39,1.573,2.439,0.53,T1,,,,,,,,,
45:51.2,0.5,焊机电源,1.45,2.1,0.39,1.518,2.338,0.54,T1,,,,,,,,,
45:51.3,0.5,焊机电源,1.45,2.1,0.39,1.483,2.236,0.578,T1,,,,,,,,,
45:51.4,0.5,焊机电源,1.45,2.1,0.39,1.458,2.143,0.603,T1,,,,,,,,,
45:51.5,0.5,焊机电源,1.45,2.1,0.39,1.444,2.057,0.639,T1,,,,,,,,,
45:51.6,0.5,焊机电源,1.45,2.1,0.39,1.435,1.98,0.668,T1,,,,,,,,,
45:51.7,0.5,焊机电源,1.45,2.1,0.39,1.429,1.914,0.69,T1,,,,,,,,,
45:51.8,0.5,焊机电源,1.45,2.1,0.39,1.429,1.859,0.712,T1,,,,,,,,,
45:51.9,0.5,焊机电源,1.45,2.1,0.39,1.428,1.808,0.732,T1,,,,,,,,,
45:51.9,0.5,电压电流旋钮,1.56,1.5,0.37,1.428,1.808,0.732,T1,,,,,,,,,
45:52.0,0.5,焊机电源,1.45,2.1,0.39,1.427,1.763,0.748,T1,,,,,,,,,
45:52.0,0.5,电压电流旋钮,1.56,1.5,0.37,1.427,1.763,0.748,T1,,,,,,,,,
45:52.1,0.5,电压电流旋钮,1.56,1.5,0.37,1.425,1.724,0.758,T1,,,,,,,,,
45:52.2,0.5,电压电流旋钮,1.56,1.5,0.37,1.875,1.553,0.649,T0,,,,,,,,,
45:52.2,0.5,电压电流旋钮,1.56,1.5,0.37,1.422,1.692,0.764,T1,,,,,,,,,
45:52.3,0.5,电压电流旋钮,1.56,1.5,0.37,1.862,1.564,0.348,T0,,,,,,,,,
45:52.3,0.5,电压电流旋钮,1.56,1.5,0.37,1.415,1.648,0.796,T1,,,,,,,,,
45:52.4,0.5,电压电流旋钮,1.56,1.5,0.37,1.846,1.579,0.056,T0,,,,,,,,,
45:53.6,0.5,电压电流旋钮,1.56,1.5,0.37,1.798,1.38,0.006,T0,,,,,,,,,
45:53.7,0.5,电压电流旋钮,1.56,1.5,0.37,1.777,1.357,0.263,T0,,,,,,,,,
45:53.8,0.5,电压电流旋钮,1.56,1.5,0.37,1.76,1.339,0.508,T0,,,,,,,,,
45:53.9,0.5,电压电流旋钮,1.56,1.5,0.37,1.744,1.334,0.764,T0,,,,,,,,,
45:54.0,0.5,电压电流旋钮,1.56,1.5,0.37,1.734,1.33,0.742,T0,,,,,,,,,
45:54.1,0.5,电压电流旋钮,1.56,1.5,0.37,1.727,1.317,0.746,T0,,,,,,,,,
45:57.7,0.5,焊机电源,1.45,2.1,0.39,1.755,2.242,0.708,T1,,,,,,,,,
45:57.8,0.5,焊机电源,1.45,2.1,0.39,1.604,2.314,0.572,T1,,,,,,,,,
45:57.9,0.5,焊机电源,1.45,2.1,0.39,1.518,2.293,0.571,T1,,,,,,,,,
45:58.0,0.5,焊机电源,1.45,2.1,0.39,1.394,2.318,0.467,T1,,,,,,,,,
45:58.1,0.5,焊机电源,1.45,2.1,0.39,1.341,2.269,0.464,T1,,,,,,,,,
