时间,报警阈值(米),报警点名称,报警点X(米),报警点Y(米),报警点Z(米),标签X(米),标签Y(米),标签Z(米),标签号,,灭火器→油箱→接地夹、焊把钳→墙壁电源→焊机电源→电压电流旋钮→待焊钢板、钢刷→焊接时手腕位置→焊机电源→墙壁电源→接地夹、焊把钳→锤子,,,,,,,
46:54.4,0.5,待焊钢板,0.81,0.46,0,0.563,0.461,-0.242,T0,,,,,,,,,
46:54.4,0.5,锤子,0.24,0.17,0,0.563,0.461,-0.242,T0,,,,,,,,,
46:54.5,0.5,待焊钢板,0.81,0.46,0,0.425,0.582,-0.161,T0,,,,,,,,,
46:54.5,0.5,锤子,0.24,0.17,0,0.425,0.582,-0.161,T0,,,,,,,,,
46:54.5,0.5,面罩把手,0.24,0.83,0,0.425,0.582,-0.161,T0,,,,,,,,,
46:54.6,0.5,锤子,0.24,0.17,0,0.31,0.66,-0.052,T0,,,,,,,,,
46:54.6,0.5,面罩把手,0.24,0.83,0,0.31,0.66,-0.052,T0,,,,,,,,,
46:54.7,0.5,面罩把手,0.24,0.83,0,0.209,0.719,0.037,T0,,,,,,,,,
46:54.8,0.5,面罩把手,0.24,0.83,0,0.152,0.682,0.24,T0,,,,,,,,,
46:54.9,0.5,面罩把手,0.24,0.83,0,0.133,0.675,-0.014,T0,,,,,,,,,
46:55.0,0.5,锤子,0.24,0.17,0,0.139,0.525,0.087,T0,,,,,,,,,
46:55.0,0.5,面罩把手,0.24,0.83,0,0.139,0.525,0.087,T0,,,,,,,,,
46:55.1,0.5,锤子,0.24,0.17,0,0.141,0.37,0.178,T0,,,,,,,,,
46:55.2,0.5,锤子,0.24,0.17,0,0.147,0.211,0.256,T0,,,,,,,,,
46:55.3,0.5,锤子,0.24,0.17,0,0.119,-0.024,0.268,T0,,,,,,,,,
46:55.3,0.5,待焊钢板,0.81,0.46,0,0.798,0.523,0.469,T1,,,,,,,,,
46:55.4,0.5,锤子,0.24,0.17,0,0.046,-0.222,0.164,T0,,,,,,,,,
46:55.4,0.5,待焊钢板,0.81,0.46,0,0.793,0.541,0.416,T1,,,,,,,,,
46:55.5,0.5,待焊钢板,0.81,0.46,0,0.787,0.553,0.367,T1,,,,,,,,,
46:55.6,0.5,待焊钢板,0.81,0.46,0,0.781,0.569,0.285,T1,,,,,,,,,
46:55.7,0.5,待焊钢板,0.81,0.46,0,0.778,0.575,0.208,T1,,,,,,,,,
46:55.8,0.5,待焊钢板,0.81,0.46,0,0.781,0.575,0.156,T1,,,,,,,,,
46:55.9,0.5,待焊钢板,0.81,0.46,0,0.791,0.57,0.105,T1,,,,,,,,,
46:56.0,0.5,待焊钢板,0.81,0.46,0,0.802,0.568,0.069,T1,,,,,,,,,
46:56.1,0.5,待焊钢板,0.81,0.46,0,0.815,0.571,0.044,T1,,,,,,,,,
46:56.2,0.5,待焊钢板,0.81,0.46,0,0.835,0.568,0.074,T1,,,,,,,,,
46:56.3,0.5,待焊钢板,0.81,0.46,0,0.86,0.572,0.074,T1,,,,,,,,,
46:56.4,0.5,待焊钢板,0.81,0.46,0,0.888,0.579,0.083,T1,,,,,,,,,
46:56.5,0.5,待焊钢板,0.81,0.46,0,0.914,0.588,0.076,T1,,,,,,,,,
46:56.6,0.5,待焊钢板,0.81,0.46,0,0.94,0.595,0.068,T1,,,,,,,,,
46:56.7,0.5,待焊钢板,0.81,0.46,0,0.966,0.601,0.093,T1,,,,,,,,,
46:56.8,0.5,待焊钢板,0.81,0.46,0,0.986,0.607,0.113,T1,,,,,,,,,
46:56.9,0.5,待焊钢板,0.81,0.46,0,0.996,0.617,0.173,T1,,,,,,,,,
46:57.0,0.5,待焊钢板,0.81,0.46,0,1,0.625,0.213,T1,,,,,,,,,
46:57.1,0.5,待焊钢板,0.81,0.46,0,1.005,0.625,0.287,T1,,,,,,,,,
46:57.2,0.5,待焊钢板,0.81,0.46,0,1.014,0.617,0.378,T1,,,,,,,,,
46:57.3,0.5,待焊钢板,0.81,0.46,0,1.02,0.598,0.432,T1,,,,,,,,,
46:57.9,0.5,待焊钢板,0.81,0.46,0,0.651,0.14,0.164,T0,,,,,,,,,
46:57.9,0.5,锤子,0.24,0.17,0,0.651,0.14,0.164,T0,,,,,,,,,
46:58.0,0.5,待焊钢板,0.81,0.46,0,0.663,0.157,-0.011,T0,,,,,,,,,
46:58.0,0.5,锤子,0.24,0.17,0,0.663,0.157,-0.011,T0,,,,,,,,,
46:58.1,0.5,待焊钢板,0.81,0.46,0,0.673,0.17,-0.182,T0,,,,,,,,,
46:58.1,0.5,锤子,0.24,0.17,0,0.673,0.17,-0.182,T0,,,,,,,,,
46:58.2,0.5,待焊钢板,0.81,0.46,0,0.683,0.188,-0.337,T0,,,,,,,,,
46:58.4,0.5,待焊钢板,0.81,0.46,0,1,0.633,0.357,T1,,,,,,,,,
46:58.5,0.5,待焊钢板,0.81,0.46,0,0.75,0.213,-0.384,T0,,,,,,,,,
46:58.5,0.5,待焊钢板,0.81,0.46,0,1.015,0.622,0.209,T1,,,,,,,,,
46:58.6,0.5,待焊钢板,0.81,0.46,0,0.756,0.242,-0.348,T0,,,,,,,,,
46:58.6,0.5,待焊钢板,0.81,0.46,0,1.03,0.609,0.077,T1,,,,,,,,,
46:58.7,0.5,待焊钢板,0.81,0.46,0,0.756,0.27,-0.32,T0,,,,,,,,,
46:58.7,0.5,待焊钢板,0.81,0.46,0,1.043,0.597,-0.027,T1,,,,,,,,,
46:58.8,0.5,待焊钢板,0.81,0.46,0,0.747,0.3,-0.303,T0,,,,,,,,,
46:58.8,0.5,待焊钢板,0.81,0.46,0,1.054,0.586,-0.1,T1,,,,,,,,,
46:58.9,0.5,待焊钢板,0.81,0.46,0,0.726,0.338,-0.296,T0,,,,,,,,,
46:58.9,0.5,待焊钢板,0.81,0.46,0,1.06,0.579,-0.161,T1,,,,,,,,,
46:59.0,0.5,待焊钢板,0.81,0.46,0,0.68,0.329,-0.35,T0,,,,,,,,,
46:59.0,0.5,待焊钢板,0.81,0.46,0,1.059,0.576,-0.109,T1,,,,,,,,,
46:59.1,0.5,待焊钢板,0.81,0.46,0,0.632,0.32,-0.405,T0,,,,,,,,,
46:59.1,0.5,待焊钢板,0.81,0.46,0,1.048,0.583,-0.036,T1,,,,,,,,,
46:59.2,0.5,待焊钢板,0.81,0.46,0,1.029,0.595,0.054,T1,,,,,,,,,
46:59.3,0.5,待焊钢板,0.81,0.46,0,0.997,0.604,0.141,T1,,,,,,,,,
46:59.4,0.5,待焊钢板,0.81,0.46,0,0.96,0.609,0.226,T1,,,,,,,,,
46:59.5,0.5,待焊钢板,0.81,0.46,0,0.919,0.607,0.321,T1,,,,,,,,,
46:59.6,0.5,待焊钢板,0.81,0.46,0,0.878,0.596,0.427,T1,,,,,,,,,
46:59.9,0.5,锤子,0.24,0.17,0,0.48,0.193,-0.42,T0,,,,,,,,,
47:00.0,0.5,锤子,0.24,0.17,0,0.48,0.161,-0.391,T0,,,,,,,,,
47:00.1,0.5,锤子,0.24,0.17,0,0.474,0.109,-0.362,T0,,,,,,,,,
47:00.2,0.5,锤子,0.24,0.17,0,0.465,0.021,-0.29,T0,,,,,,,,,
47:00.3,0.5,锤子,0.24,0.17,0,0.455,-0.055,-0.225,T0,,,,,,,,,
47:00.4,0.5,锤子,0.24,0.17,0,0.444,-0.133,-0.164,T0,,,,,,,,,
47:00.5,0.5,锤子,0.24,0.17,0,0.434,-0.192,-0.105,T0,,,,,,,,,
47:00.6,0.5,锤子,0.24,0.17,0,0.429,-0.248,-0.05,T0,,,,,,,,,
47:00.7,0.5,锤子,0.24,0.17,0,0.429,-0.271,0,T0,,,,,,,,,
47:00.8,0.5,锤子,0.24,0.17,0,0.428,-0.261,0,T0,,,,,,,,,
47:00.9,0.5,锤子,0.24,0.17,0,0.42,-0.271,0,T0,,,,,,,,,
47:01.0,0.5,锤子,0.24,0.17,0,0.409,-0.283,0,T0,,,,,,,,,
47:01.1,0.5,锤子,0.24,0.17,0,0.401,-0.293,0,T0,,,,,,,,,
47:01.2,0.5,锤子,0.24,0.17,0,0.394,-0.296,0,T0,,,,,,,,,
47:01.3,0.5,锤子,0.24,0.17,0,0.386,-0.296,0,T0,,,,,,,,,
47:01.4,0.5,锤子,0.24,0.17,0,0.369,-0.271,-0.046,T0,,,,,,,,,
47:01.5,0.5,锤子,0.24,0.17,0,0.36,-0.247,-0.077,T0,,,,,,,,,
47:01.6,0.5,锤子,0.24,0.17,0,0.355,-0.196,-0.119,T0,,,,,,,,,
47:01.7,0.5,锤子,0.24,0.17,0,0.35,-0.148,-0.156,T0,,,,,,,,,
47:01.8,0.5,锤子,0.24,0.17,0,0.342,-0.103,-0.194,T0,,,,,,,,,
47:01.9,0.5,锤子,0.24,0.17,0,0.333,-0.062,-0.232,T0,,,,,,,,,
47:02.0,0.5,锤子,0.24,0.17,0,0.336,-0.058,-0.222,T0,,,,,,,,,
47:02.1,0.5,锤子,0.24,0.17,0,0.333,-0.049,-0.222,T0,,,,,,,,,
47:02.2,0.5,锤子,0.24,0.17,0,0.33,-0.07,-0.201,T0,,,,,,,,,
47:02.3,0.5,锤子,0.24,0.17,0,0.325,-0.084,-0.182,T0,,,,,,,,,
47:02.4,0.5,锤子,0.24,0.17,0,0.321,-0.095,-0.166,T0,,,,,,,,,
47:02.5,0.5,锤子,0.24,0.17,0,0.319,-0.103,-0.157,T0,,,,,,,,,
47:02.6,0.5,锤子,0.24,0.17,0,0.32,-0.088,-0.147,T0,,,,,,,,,
47:02.7,0.5,锤子,0.24,0.17,0,0.321,-0.103,-0.115,T0,,,,,,,,,
47:02.8,0.5,锤子,0.24,0.17,0,0.328,-0.101,-0.095,T0,,,,,,,,,
47:02.9,0.5,锤子,0.24,0.17,0,0.335,-0.098,-0.096,T0,,,,,,,,,
47:03.0,0.5,锤子,0.24,0.17,0,0.348,-0.102,-0.091,T0,,,,,,,,,
47:03.1,0.5,锤子,0.24,0.17,0,0.36,-0.104,-0.093,T0,,,,,,,,,
47:03.2,0.5,锤子,0.24,0.17,0,0.374,-0.102,-0.108,T0,,,,,,,,,
47:03.3,0.5,锤子,0.24,0.17,0,0.394,-0.047,-0.154,T0,,,,,,,,,
47:03.4,0.5,锤子,0.24,0.17,0,0.417,0.009,-0.206,T0,,,,,,,,,
47:03.5,0.5,锤子,0.24,0.17,0,0.441,0.067,-0.245,T0,,,,,,,,,
47:03.6,0.5,锤子,0.24,0.17,0,0.463,0.128,-0.291,T0,,,,,,,,,
47:03.7,0.5,锤子,0.24,0.17,0,0.489,0.186,-0.328,T0,,,,,,,,,
47:03.8,0.5,待焊钢板,0.81,0.46,0,0.471,0.287,-0.218,T0,,,,,,,,,
47:03.8,0.5,锤子,0.24,0.17,0,0.471,0.287,-0.218,T0,,,,,,,,,
47:03.9,0.5,待焊钢板,0.81,0.46,0,0.418,0.419,-0.171,T0,,,,,,,,,
47:03.9,0.5,锤子,0.24,0.17,0,0.418,0.419,-0.171,T0,,,,,,,,,
47:03.9,0.5,面罩把手,0.24,0.83,0,0.418,0.419,-0.171,T0,,,,,,,,,
47:04.0,0.5,待焊钢板,0.81,0.46,0,0.371,0.542,-0.092,T0,,,,,,,,,
47:04.0,0.5,锤子,0.24,0.17,0,0.371,0.542,-0.092,T0,,,,,,,,,
47:04.0,0.5,面罩把手,0.24,0.83,0,0.371,0.542,-0.092,T0,,,,,,,,,
47:04.1,0.5,面罩把手,0.24,0.83,0,0.299,0.678,-0.035,T0,,,,,,,,,
47:04.2,0.5,面罩把手,0.24,0.83,0,0.206,0.825,0.029,T0,,,,,,,,,
47:04.3,0.5,面罩把手,0.24,0.83,0,0.097,0.982,0.097,T0,,,,,,,,,
47:04.4,0.5,面罩把手,0.24,0.83,0,0.039,1.079,0.027,T0,,,,,,,,,
47:04.5,0.5,面罩把手,0.24,0.83,0,0.032,1.127,0.027,T0,,,,,,,,,
47:04.6,0.5,面罩把手,0.24,0.83,0,0.029,1.159,0.065,T0,,,,,,,,,
47:04.7,0.5,面罩把手,0.24,0.83,0,0.061,1.157,0.156,T0,,,,,,,,,
47:04.8,0.5,面罩把手,0.24,0.83,0,0.135,1.111,0.276,T0,,,,,,,,,
47:04.9,0.5,面罩把手,0.24,0.83,0,0.233,1.033,0.408,T0,,,,,,,,,
47:09.8,0.5,待焊钢板,0.81,0.46,0,0.757,0.202,0.29,T0,,,,,,,,,
47:09.9,0.5,待焊钢板,0.81,0.46,0,0.723,0.173,0.089,T0,,,,,,,,,
47:09.9,0.5,锤子,0.24,0.17,0,0.723,0.173,0.089,T0,,,,,,,,,
47:10.0,0.5,待焊钢板,0.81,0.46,0,0.692,0.141,-0.105,T0,,,,,,,,,
47:10.0,0.5,锤子,0.24,0.17,0,0.692,0.141,-0.105,T0,,,,,,,,,
47:10.1,0.5,待焊钢板,0.81,0.46,0,0.663,0.108,-0.294,T0,,,,,,,,,
47:10.5,0.5,锤子,0.24,0.17,0,0.557,0.01,-0.289,T0,,,,,,,,,
47:10.6,0.5,锤子,0.24,0.17,0,0.531,-0.04,-0.218,T0,,,,,,,,,
47:10.7,0.5,锤子,0.24,0.17,0,0.503,-0.102,-0.153,T0,,,,,,,,,
47:10.8,0.5,锤子,0.24,0.17,0,0.48,-0.167,-0.097,T0,,,,,,,,,
47:10.9,0.5,锤子,0.24,0.17,0,0.457,-0.235,-0.05,T0,,,,,,,,,
47:11.2,0.5,锤子,0.24,0.17,0,0.321,-0.244,-0.074,T0,,,,,,,,,
47:11.3,0.5,锤子,0.24,0.17,0,0.309,-0.258,-0.074,T0,,,,,,,,,
47:11.4,0.5,锤子,0.24,0.17,0,0.301,-0.264,-0.074,T0,,,,,,,,,
47:11.5,0.5,锤子,0.24,0.17,0,0.304,-0.259,-0.074,T0,,,,,,,,,
47:11.6,0.5,锤子,0.24,0.17,0,0.314,-0.25,-0.074,T0,,,,,,,,,
47:11.7,0.5,锤子,0.24,0.17,0,0.328,-0.227,-0.109,T0,,,,,,,,,
47:11.9,0.5,锤子,0.24,0.17,0,0.421,-0.223,-0.206,T0,,,,,,,,,
47:12.0,0.5,锤子,0.24,0.17,0,0.387,-0.128,-0.073,T0,,,,,,,,,
47:12.1,0.5,锤子,0.24,0.17,0,0.352,-0.094,0.075,T0,,,,,,,,,
47:12.2,0.5,锤子,0.24,0.17,0,0.312,-0.062,0.236,T0,,,,,,,,,
47:12.3,0.5,锤子,0.24,0.17,0,0.263,-0.013,0.442,T0,,,,,,,,,
47:15.4,0.5,焊把钳下端,3.02,1.15,1.56,3.099,1.09,1.112,T1,人体移动,,,,,,,,
47:15.5,0.5,焊把钳下端,3.02,1.15,1.56,3.003,1.22,1.158,T1,,,,,,,,,
47:15.6,0.5,焊把钳下端,3.02,1.15,1.56,2.896,1.364,1.193,T1,,,,,,,,,
47:15.6,0.5,接地夹下端,3.02,1.53,1.61,2.896,1.364,1.193,T1,,,,,,,,,
47:15.7,0.5,接地夹下端,3.02,1.53,1.61,2.792,1.506,1.207,T1,,,,,,,,,
47:16.2,0.5,墙壁电源,2.44,2.57,0.97,2.281,2.181,0.976,T1,,,,,,,,,
47:16.3,0.5,墙壁电源,2.44,2.57,0.97,2.213,2.262,0.907,T1,,,,,,,,,
47:16.4,0.5,墙壁电源,2.44,2.57,0.97,2.13,2.355,0.782,T1,,,,,,,,,
47:16.5,0.5,墙壁电源,2.44,2.57,0.97,2.08,2.427,0.697,T1,,,,,,,,,
47:17.6,0.5,焊机电源,1.45,2.1,0.39,1.736,2.509,0.38,T1,关闭焊机电源,,,,,,,,
47:17.7,0.5,焊机电源,1.45,2.1,0.39,1.645,2.534,0.269,T1,,,,,,,,,
47:18.4,0.5,焊机电源,1.45,2.1,0.39,1.307,2.485,0.147,T1,,,,,,,,,
47:18.5,0.5,焊机电源,1.45,2.1,0.39,1.288,2.462,0.244,T1,,,,,,,,,
47:18.6,0.5,焊机电源,1.45,2.1,0.39,1.275,2.441,0.355,T1,,,,,,,,,
47:18.7,0.5,焊机电源,1.45,2.1,0.39,1.269,2.42,0.486,T1,,,,,,,,,
47:18.8,0.5,焊机电源,1.45,2.1,0.39,1.262,2.4,0.618,T1,,,,,,,,,
47:18.9,0.5,焊机电源,1.45,2.1,0.39,1.254,2.383,0.691,T1,,,,,,,,,
47:19.0,0.5,焊机电源,1.45,2.1,0.39,1.244,2.371,0.741,T1,,,,,,,,,
47:19.1,0.5,焊机电源,1.45,2.1,0.39,1.232,2.368,0.749,T1,,,,,,,,,
47:19.2,0.5,焊机电源,1.45,2.1,0.39,1.211,2.375,0.703,T1,,,,,,,,,
47:19.3,0.5,焊机电源,1.45,2.1,0.39,1.186,2.397,0.572,T1,,,,,,,,,
47:19.4,0.5,焊机电源,1.45,2.1,0.39,1.168,2.42,0.44,T1,,,,,,,,,
47:19.5,0.5,焊机电源,1.45,2.1,0.39,1.159,2.441,0.354,T1,,,,,,,,,
47:19.6,0.5,焊机电源,1.45,2.1,0.39,1.172,2.453,0.325,T1,,,,,,,,,
47:19.7,0.5,焊机电源,1.45,2.1,0.39,1.194,2.455,0.333,T1,,,,,,,,,
47:19.8,0.5,焊机电源,1.45,2.1,0.39,1.236,2.441,0.412,T1,,,,,,,,,
47:19.9,0.5,焊机电源,1.45,2.1,0.39,1.29,2.415,0.575,T1,,,,,,,,,
47:20.0,0.5,焊机电源,1.45,2.1,0.39,1.353,2.383,0.753,T1,,,,,,,,,
47:20.2,0.5,焊机电源,1.45,2.1,0.39,1.392,2.408,0.775,T1,,,,,,,,,
47:20.3,0.5,焊机电源,1.45,2.1,0.39,1.372,2.456,0.662,T1,,,,,,,,,
47:20.4,0.5,焊机电源,1.45,2.1,0.39,1.343,2.503,0.518,T1,,,,,,,,,
47:20.5,0.5,焊机电源,1.45,2.1,0.39,1.306,2.546,0.355,T1,,,,,,,,,
47:23.3,0.5,墙壁电源,2.44,2.57,0.97,2.265,2.656,0.592,T1,关闭墙壁电源,,,,,,,,
47:23.4,0.5,墙壁电源,2.44,2.57,0.97,2.457,2.557,0.78,T1,,,,,,,,,
47:23.5,0.5,墙壁电源,2.44,2.57,0.97,2.645,2.441,0.966,T1,,,,,,,,,
47:23.6,0.5,墙壁电源,2.44,2.57,0.97,2.818,2.319,1.052,T1,,,,,,,,,
47:25.2,0.5,墙壁电源,2.44,2.57,0.97,2.334,2.09,1.04,T0,,,,,,,,,
47:25.3,0.5,墙壁电源,2.44,2.57,0.97,2.362,2.139,1.02,T0,,,,,,,,,
47:25.4,0.5,墙壁电源,2.44,2.57,0.97,2.385,2.19,1.001,T0,,,,,,,,,
47:25.5,0.5,墙壁电源,2.44,2.57,0.97,2.404,2.241,0.984,T0,,,,,,,,,
47:25.6,0.5,墙壁电源,2.44,2.57,0.97,2.422,2.289,0.971,T0,,,,,,,,,
47:25.7,0.5,墙壁电源,2.44,2.57,0.97,2.438,2.332,0.968,T0,,,,,,,,,
47:25.8,0.5,墙壁电源,2.44,2.57,0.97,2.452,2.37,0.974,T0,,,,,,,,,
47:25.9,0.5,墙壁电源,2.44,2.57,0.97,2.461,2.405,0.976,T0,,,,,,,,,
47:26.0,0.5,墙壁电源,2.44,2.57,0.97,2.468,2.43,0.981,T0,,,,,,,,,
47:26.1,0.5,墙壁电源,2.44,2.57,0.97,2.477,2.449,0.984,T0,,,,,,,,,
47:26.2,0.5,墙壁电源,2.44,2.57,0.97,2.486,2.467,0.987,T0,,,,,,,,,
47:26.3,0.5,墙壁电源,2.44,2.57,0.97,2.493,2.48,0.989,T0,,,,,,,,,
47:26.4,0.5,墙壁电源,2.44,2.57,0.97,2.504,2.492,0.988,T0,,,,,,,,,
47:26.5,0.5,墙壁电源,2.44,2.57,0.97,2.516,2.5,0.989,T0,,,,,,,,,
47:26.6,0.5,墙壁电源,2.44,2.57,0.97,2.528,2.504,0.99,T0,,,,,,,,,
47:26.7,0.5,墙壁电源,2.44,2.57,0.97,2.539,2.507,0.991,T0,,,,,,,,,
47:26.8,0.5,墙壁电源,2.44,2.57,0.97,2.547,2.507,0.994,T0,,,,,,,,,
47:26.9,0.5,墙壁电源,2.44,2.57,0.97,2.554,2.51,0.995,T0,,,,,,,,,
47:27.0,0.5,墙壁电源,2.44,2.57,0.97,2.555,2.514,0.996,T0,,,,,,,,,
47:27.1,0.5,墙壁电源,2.44,2.57,0.97,2.556,2.518,0.995,T0,,,,,,,,,
47:27.2,0.5,墙壁电源,2.44,2.57,0.97,2.554,2.523,0.994,T0,,,,,,,,,
47:27.3,0.5,墙壁电源,2.44,2.57,0.97,2.552,2.524,0.995,T0,,,,,,,,,
47:27.4,0.5,墙壁电源,2.44,2.57,0.97,2.551,2.525,0.998,T0,,,,,,,,,
47:27.5,0.5,墙壁电源,2.44,2.57,0.97,2.55,2.521,1.003,T0,,,,,,,,,
47:27.6,0.5,墙壁电源,2.44,2.57,0.97,2.551,2.513,1.014,T0,,,,,,,,,
47:27.7,0.5,墙壁电源,2.44,2.57,0.97,2.55,2.499,1.036,T0,,,,,,,,,
47:27.8,0.5,墙壁电源,2.44,2.57,0.97,2.555,2.486,1.056,T0,,,,,,,,,
47:27.9,0.5,墙壁电源,2.44,2.57,0.97,2.558,2.478,1.068,T0,,,,,,,,,
47:28.0,0.5,墙壁电源,2.44,2.57,0.97,2.562,2.472,1.071,T0,,,,,,,,,
47:28.1,0.5,墙壁电源,2.44,2.57,0.97,2.564,2.467,1.068,T0,,,,,,,,,
47:28.2,0.5,墙壁电源,2.44,2.57,0.97,2.563,2.463,1.054,T0,,,,,,,,,
47:28.3,0.5,墙壁电源,2.44,2.57,0.97,2.563,2.458,1.032,T0,,,,,,,,,
47:28.4,0.5,墙壁电源,2.44,2.57,0.97,2.561,2.44,1.021,T0,,,,,,,,,
47:28.5,0.5,墙壁电源,2.44,2.57,0.97,2.547,2.415,1.029,T0,,,,,,,,,
47:28.6,0.5,墙壁电源,2.44,2.57,0.97,2.539,2.367,1.051,T0,,,,,,,,,
47:28.7,0.5,墙壁电源,2.44,2.57,0.97,2.535,2.308,1.079,T0,,,,,,,,,
47:28.8,0.5,墙壁电源,2.44,2.57,0.97,2.536,2.241,1.107,T0,,,,,,,,,
47:28.9,0.5,墙壁电源,2.44,2.57,0.97,2.544,2.17,1.129,T0,,,,,,,,,
47:30.0,0.5,墙壁电源,2.44,2.57,0.97,2.1,2.365,0.709,T1,,,,,,,,,
47:31.7,0.5,焊把钳下端,3.02,1.15,1.56,3.232,1.322,1.156,T0,焊把钳、接地夹挂墙,,,,,,,,
47:31.8,0.5,焊把钳下端,3.02,1.15,1.56,3.089,1.242,1.21,T0,,,,,,,,,
47:31.8,0.5,接地夹下端,3.02,1.53,1.61,3.089,1.242,1.21,T0,,,,,,,,,
47:31.9,0.5,焊把钳下端,3.02,1.15,1.56,3.003,1.16,1.225,T0,,,,,,,,,
47:32.0,0.5,焊把钳下端,3.02,1.15,1.56,2.876,1.066,1.221,T0,,,,,,,,,
47:32.1,0.5,焊把钳下端,3.02,1.15,1.56,2.749,1.002,1.221,T0,,,,,,,,,
47:34.2,0.5,焊把钳下端,3.02,1.15,1.56,2.787,1.14,1.147,T0,,,,,,,,,
47:34.3,0.5,焊把钳下端,3.02,1.15,1.56,2.931,1.198,1.148,T0,,,,,,,,,
47:34.4,0.5,焊把钳下端,3.02,1.15,1.56,3.073,1.26,1.149,T0,,,,,,,,,
47:34.5,0.5,焊把钳下端,3.02,1.15,1.56,3.197,1.32,1.136,T0,,,,,,,,,
47:34.6,0.5,焊把钳下端,3.02,1.15,1.56,2.702,1.074,1.341,T1,,,,,,,,,
47:34.7,0.5,焊把钳下端,3.02,1.15,1.56,2.824,1.105,1.349,T1,,,,,,,,,
47:34.8,0.5,焊把钳下端,3.02,1.15,1.56,2.924,1.156,1.369,T1,,,,,,,,,
47:34.8,0.5,接地夹下端,3.02,1.53,1.61,2.924,1.156,1.369,T1,,,,,,,,,
47:34.9,0.5,焊把钳下端,3.02,1.15,1.56,2.999,1.208,1.394,T1,,,,,,,,,
47:34.9,0.5,接地夹下端,3.02,1.53,1.61,2.999,1.208,1.394,T1,,,,,,,,,
47:35.0,0.5,焊把钳下端,3.02,1.15,1.56,3.04,1.283,1.444,T1,,,,,,,,,
47:35.0,0.5,接地夹下端,3.02,1.53,1.61,3.04,1.283,1.444,T1,,,,,,,,,
47:35.1,0.5,焊把钳下端,3.02,1.15,1.56,3.035,1.38,1.516,T1,,,,,,,,,
47:35.1,0.5,接地夹下端,3.02,1.53,1.61,3.035,1.38,1.516,T1,,,,,,,,,
47:35.2,0.5,焊把钳下端,3.02,1.15,1.56,3.044,1.471,1.597,T1,,,,,,,,,
47:35.2,0.5,接地夹下端,3.02,1.53,1.61,3.044,1.471,1.597,T1,,,,,,,,,
47:35.3,0.5,焊把钳下端,3.02,1.15,1.56,3.059,1.56,1.682,T1,,,,,,,,,
47:35.3,0.5,接地夹下端,3.02,1.53,1.61,3.059,1.56,1.682,T1,,,,,,,,,
47:35.4,0.5,接地夹下端,3.02,1.53,1.61,3.059,1.654,1.756,T1,,,,,,,,,
47:35.5,0.5,接地夹下端,3.02,1.53,1.61,3.051,1.745,1.823,T1,,,,,,,,,
47:35.6,0.5,接地夹下端,3.02,1.53,1.61,3.067,1.796,1.858,T1,,,,,,,,,
47:35.7,0.5,接地夹下端,3.02,1.53,1.61,3.106,1.83,1.877,T1,,,,,,,,,
47:35.8,0.5,接地夹下端,3.02,1.53,1.61,3.118,1.886,1.899,T1,,,,,,,,,
47:37.7,0.5,接地夹下端,3.02,1.53,1.61,2.837,1.73,1.789,T1,,,,,,,,,
47:37.8,0.5,接地夹下端,3.02,1.53,1.61,2.875,1.588,1.804,T1,,,,,,,,,
47:37.9,0.5,焊把钳下端,3.02,1.15,1.56,2.884,1.505,1.83,T1,,,,,,,,,
47:37.9,0.5,接地夹下端,3.02,1.53,1.61,2.884,1.505,1.83,T1,,,,,,,,,
47:38.0,0.5,焊把钳下端,3.02,1.15,1.56,2.898,1.439,1.852,T1,,,,,,,,,
47:38.0,0.5,接地夹下端,3.02,1.53,1.61,2.898,1.439,1.852,T1,,,,,,,,,
47:38.1,0.5,焊把钳下端,3.02,1.15,1.56,2.909,1.388,1.875,T1,,,,,,,,,
47:38.1,0.5,接地夹下端,3.02,1.53,1.61,2.909,1.388,1.875,T1,,,,,,,,,
47:38.2,0.5,接地夹下端,3.02,1.53,1.61,2.82,1.464,1.995,T1,,,,,,,,,
47:38.3,0.5,接地夹下端,3.02,1.53,1.61,2.836,1.426,2.005,T1,,,,,,,,,
47:38.4,0.5,接地夹下端,3.02,1.53,1.61,2.858,1.391,2.014,T1,,,,,,,,,
47:38.5,0.5,接地夹下端,3.02,1.53,1.61,2.874,1.357,2.018,T1,,,,,,,,,
47:38.6,0.5,接地夹下端,3.02,1.53,1.61,2.863,1.36,2.019,T1,,,,,,,,,
47:38.7,0.5,接地夹下端,3.02,1.53,1.61,2.855,1.364,2.011,T1,,,,,,,,,
47:38.8,0.5,接地夹下端,3.02,1.53,1.61,2.851,1.364,1.999,T1,,,,,,,,,
47:38.9,0.5,接地夹下端,3.02,1.53,1.61,2.837,1.375,1.987,T1,,,,,,,,,
47:39.0,0.5,接地夹下端,3.02,1.53,1.61,2.818,1.388,1.976,T1,,,,,,,,,
47:39.1,0.5,接地夹下端,3.02,1.53,1.61,2.805,1.406,1.959,T1,,,,,,,,,
47:39.2,0.5,焊把钳下端,3.02,1.15,1.56,2.814,1.397,1.938,T1,,,,,,,,,
47:39.2,0.5,接地夹下端,3.02,1.53,1.61,2.814,1.397,1.938,T1,,,,,,,,,
47:39.3,0.5,焊把钳下端,3.02,1.15,1.56,2.81,1.406,1.925,T1,,,,,,,,,
