时间,报警阈值(米),报警点名称,报警点X(米),报警点Y(米),报警点Z(米),标签X(米),标签Y(米),标签Z(米),标签号
37:52.4,0.5,灭火器把手,2.84,0.69,0.5,3.155,0.44,0.597,T1
37:52.5,0.5,油箱顶部,2.86,0.42,0.25,2.757,0.221,0.591,T0
37:52.5,0.5,灭火器把手,2.84,0.69,0.5,2.757,0.221,0.591,T0
37:52.5,0.5,油箱顶部,2.86,0.42,0.25,3.141,0.441,0.616,T1
37:52.5,0.5,灭火器把手,2.84,0.69,0.5,3.141,0.441,0.616,T1
37:52.6,0.5,油箱顶部,2.86,0.42,0.25,2.725,0.236,0.612,T0
37:52.6,0.5,灭火器把手,2.84,0.69,0.5,2.725,0.236,0.612,T0
37:52.6,0.5,油箱顶部,2.86,0.42,0.25,3.155,0.45,0.636,T1
37:52.6,0.5,灭火器把手,2.84,0.69,0.5,3.155,0.45,0.636,T1
37:52.7,0.5,油箱顶部,2.86,0.42,0.25,2.686,0.214,0.658,T0
37:52.7,0.5,灭火器把手,2.84,0.69,0.5,3.186,0.456,0.659,T1
37:52.8,0.5,灭火器把手,2.84,0.69,0.5,3.208,0.465,0.713,T1
38:01.9,0.5,墙壁电源,2.44,2.57,0.97,2.585,2.231,0.902,T1
38:02.0,0.5,墙壁电源,2.44,2.57,0.97,2.369,2.397,0.828,T1
38:02.1,0.5,墙壁电源,2.44,2.57,0.97,2.179,2.533,0.764,T1
38:11.9,0.5,灭火器把手,2.84,0.69,0.5,2.946,0.571,0.956,T1
38:12.0,0.5,灭火器把手,2.84,0.69,0.5,2.959,0.569,0.953,T1
38:12.1,0.5,灭火器把手,2.84,0.69,0.5,2.963,0.568,0.952,T1
38:12.2,0.5,灭火器把手,2.84,0.69,0.5,2.961,0.57,0.951,T1
38:12.3,0.5,灭火器把手,2.84,0.69,0.5,2.955,0.57,0.952,T1
38:12.4,0.5,灭火器把手,2.84,0.69,0.5,2.949,0.572,0.952,T1
38:12.5,0.5,灭火器把手,2.84,0.69,0.5,2.941,0.574,0.951,T1
38:12.6,0.5,灭火器把手,2.84,0.69,0.5,2.93,0.574,0.95,T1
38:12.7,0.5,灭火器把手,2.84,0.69,0.5,2.921,0.575,0.95,T1
38:12.8,0.5,灭火器把手,2.84,0.69,0.5,2.914,0.573,0.95,T1
38:12.9,0.5,灭火器把手,2.84,0.69,0.5,2.911,0.572,0.951,T1
38:13.0,0.5,灭火器把手,2.84,0.69,0.5,2.911,0.571,0.953,T1
38:13.1,0.5,灭火器把手,2.84,0.69,0.5,2.908,0.573,0.956,T1
38:13.2,0.5,灭火器把手,2.84,0.69,0.5,2.907,0.575,0.958,T1
38:13.3,0.5,灭火器把手,2.84,0.69,0.5,2.907,0.577,0.957,T1
38:13.4,0.5,灭火器把手,2.84,0.69,0.5,2.909,0.578,0.957,T1
38:13.5,0.5,灭火器把手,2.84,0.69,0.5,2.91,0.58,0.956,T1
38:13.7,0.5,灭火器把手,2.84,0.69,0.5,2.908,0.581,0.955,T1
38:13.8,0.5,灭火器把手,2.84,0.69,0.5,2.91,0.579,0.954,T1
38:13.9,0.5,灭火器把手,2.84,0.69,0.5,2.911,0.578,0.953,T1
38:14.0,0.5,灭火器把手,2.84,0.69,0.5,2.91,0.579,0.954,T1
38:14.1,0.5,灭火器把手,2.84,0.69,0.5,2.908,0.581,0.959,T1
38:14.2,0.5,灭火器把手,2.84,0.69,0.5,2.906,0.583,0.963,T1
38:14.3,0.5,灭火器把手,2.84,0.69,0.5,2.903,0.586,0.967,T1
38:14.4,0.5,灭火器把手,2.84,0.69,0.5,2.898,0.591,0.971,T1
38:14.5,0.5,灭火器把手,2.84,0.69,0.5,2.896,0.596,0.976,T1
38:14.6,0.5,灭火器把手,2.84,0.69,0.5,2.893,0.602,0.98,T1
38:14.7,0.5,灭火器把手,2.84,0.69,0.5,2.889,0.605,0.979,T1
38:14.8,0.5,灭火器把手,2.84,0.69,0.5,2.884,0.691,0.874,T1
38:14.9,0.5,灭火器把手,2.84,0.69,0.5,2.881,0.695,0.875,T1
38:15.0,0.5,灭火器把手,2.84,0.69,0.5,2.879,0.697,0.875,T1
38:15.1,0.5,灭火器把手,2.84,0.69,0.5,2.877,0.699,0.874,T1
38:15.2,0.5,灭火器把手,2.84,0.69,0.5,2.876,0.698,0.873,T1
38:15.3,0.5,灭火器把手,2.84,0.69,0.5,2.875,0.698,0.872,T1
38:15.4,0.5,灭火器把手,2.84,0.69,0.5,2.874,0.615,0.974,T1
38:15.5,0.5,灭火器把手,2.84,0.69,0.5,2.874,0.614,0.971,T1
38:15.6,0.5,灭火器把手,2.84,0.69,0.5,2.873,0.613,0.97,T1
